Symbol,Date,Close/Last,Open,High,Low
MSFT,19/11/2024,417.79,413.11,417.94,411.55
MSFT,18/11/2024,415.76,414.87,418.4,412.1
MSFT,15/11/2024,415,419.82,422.8,413.64
MSFT,14/11/2024,426.89,425,428.17,420
MSFT,13/11/2024,425.2,421.64,429.33,418.21
MSFT,12/11/2024,423.03,418.25,424.44,417.2
MSFT,11/11/2024,418.01,422.52,424.81,416
MSFT,8/11/2024,422.54,425.32,426.5,421.78
MSFT,7/11/2024,425.43,421.28,426.85,419.88
MSFT,6/11/2024,420.18,412.42,420.45,410.52
MSFT,5/11/2024,411.46,408.37,414.9,408.08
MSFT,4/11/2024,408.46,409.8,410.42,405.57
MSFT,1/11/2024,410.37,409.01,415.5,407.5
